iter,cost
0,5.704300838586716
1,5.704300838586716
2,5.554894728069335
3,5.554894728069335
4,5.554894728069335
5,5.534212915225029
6,5.593506390961284
7,5.679714748012843
8,5.679714748012843
9,5.679714748012843
10,5.584399874931888
11,5.57276155340915
12,5.581181923985998
13,5.340453872688046
14,5.340453872688046
15,5.6473361615359385
16,5.6473361615359385
17,5.6473361615359385
18,5.6473361615359385
19,5.6473361615359385
20,5.6473361615359385
21,5.6473361615359385
22,5.6473361615359385
23,5.655548004376731
24,5.655548004376731
25,5.655548004376731
26,5.625995621045984
27,5.665964790653701
28,5.663655794297635
29,5.411517500269384
30,5.663657814147997
31,5.535960412319681
32,5.535960412319681
33,5.535960412319681
34,5.535960412319681
35,5.535960412319681
36,5.314768202809781
37,5.314768202809781
38,5.30762001887867
39,5.296688971224942
40,5.296688971224942
41,5.303997889665695
42,5.303997889665695
43,5.290190047010461
44,5.185788364040726
45,5.095628423925285
46,5.095628423925285
47,5.095628423925285
48,5.095628423925285
49,5.529290747979606
50,5.529290747979606
51,5.568525878777501
52,5.568525878777501
53,5.443005792792777
54,5.443005792792777
55,5.129124967606847
56,5.129124967606847
57,5.126268902108027
58,5.37315628018869
59,5.37315628018869
60,5.37315628018869
61,5.275001164668723
62,5.275001164668723
63,5.275001164668723
64,5.299153088847024
65,5.355028395288266
66,5.355028395288266
67,5.302161504631654
68,5.421289147938244
69,5.440968142070285
70,5.5255699329563495
71,5.5255699329563495
72,5.381022221694404
73,5.381022221694404
74,5.008676264996023
75,4.999918689368191
76,5.180886568192191
77,4.999918689368191
78,4.999918689368191
79,5.013300503854506
80,4.9773657844806145
81,5.3875901130325285
82,5.3875901130325285
83,5.387729639385444
84,5.425437383152566
85,5.015211289319327
86,5.138005133804536
87,5.0222353943362235
88,5.0222353943362235
89,5.137981165967223
90,5.544345830595709
91,5.23479164068243
92,5.25366385721006
93,5.23479164068243
94,5.179916481030508
95,5.204415574757868
96,5.251582900181729
97,5.314289075642698
98,5.314289075642698
99,5.290099301855305
100,5.285020118081661
101,5.285020118081661
102,5.299214556713685
103,5.299214556713685
104,5.299214556713685
105,5.299214556713685
106,5.058779384386641
107,5.071471801766937
108,5.199965632224829
109,5.199965632224829
110,5.141114932828397
111,5.225293269659827
112,5.2802416814346795
113,5.372284164236012
114,5.372284164236012
115,5.372284164236012
116,5.711614968874137
117,5.711614968874137
118,5.726927118547787
119,5.726927118547787
120,5.388406135575185
121,5.4759104564771945
122,5.335936603303432
123,5.335936603303432
124,5.447081921886728
125,4.9773657844806145
126,5.013300503854506
127,4.9773657844806145
128,5.050260974479828
129,5.4604925696784345
130,5.4604925696784345
131,5.4604925696784345
132,5.4604925696784345
133,5.324274896056527
134,6.34178218709224
135,6.3342603497932615
136,5.544502065618435
137,5.531404357055919
138,5.531404357055919
139,5.588257876811109
140,5.588257876811109
141,5.588257876811109
142,6.092593497965563
143,6.092593497965563
144,6.092593497965563
145,5.427178662513072
146,6.53495759002412
147,6.53495759002412
148,5.489450213159024
149,5.489450213159024
150,5.489450213159024
151,5.489450213159024
152,5.43929244229941
153,5.43929244229941
154,5.43929244229941
155,6.506519842003991
156,6.335996477052545
157,6.335996477052545
158,5.963837247472229
159,5.963837247472229
160,7.801418663159664
161,6.173528891155912
162,6.173528891155912
163,6.087090635882713
164,5.800614395909755
165,5.928189886769696
166,5.748663343378559
167,5.74130443691996
168,5.74130443691996
169,5.336930675132117
170,4.9773657844806145
171,4.902788365314238
172,4.902788365314238
173,4.902788365314238
174,5.1229509822939985
175,5.361006200660011
176,5.361006200660011
177,5.55156639096176
178,5.55156639096176
179,5.660029539159647
180,7.777841272827086
181,7.777841272827086
182,7.777841272827086
183,5.711888453782214
184,5.711888453782214
185,5.697448321947835
186,5.528935635558828
187,5.59221387561443
188,5.526452907449711
189,5.526452907449711
190,5.526452907449711
191,5.762246806251985
192,5.502634539872456
193,5.502634539872456
194,5.540019707564523
195,5.540019707564523
196,5.540019707564523
197,5.540019707564523
198,5.026263733132501
199,4.927363634136661
200,4.927363634136661
201,4.927363634136661
202,5.201346965578157
203,5.201346965578157
204,5.201346965578157
205,5.201346965578157
206,5.201346965578157
207,5.201346965578157
208,5.201346965578157
209,5.201346965578157
210,5.242208129856619
211,5.224983691867944
212,5.464427824512516
213,5.53408506456242
214,5.588310365748797
215,5.5958708915099304
216,4.902788365314238
217,4.902788365314238
218,4.990467467001228
219,5.117622896705681
220,5.448685302443019
221,5.448685302443019
222,5.52156156329311
223,5.677414849596103
224,5.677414849596103
225,5.677414849596103
226,5.3841161663044215
227,5.685934035801994
228,5.685934035801994
229,5.346373445692548
230,5.3783482830469636
231,5.382985120305715
232,5.254125286030524
233,5.254125286030524
234,5.254125286030524
235,6.084997761486736
236,6.138668419237894
237,6.386849383578552
238,5.700331039403753
239,5.3793043424533415
240,5.3793043424533415
241,5.633038327675812
242,5.633038327675812
243,5.633038327675812
244,5.633038327675812
245,5.633038327675812
246,5.633038327675812
247,5.633038327675812
248,5.633038327675812
249,5.633038327675812
250,5.633038327675812
251,6.26589823636
252,6.0030753446313065
253,6.0030753446313065
254,6.0030753446313065
255,5.9095705627397574
256,5.9095705627397574
257,5.809672836000026
258,5.090770578569592
259,5.090770578569592
260,5.090770578569592
261,4.902788365314238
262,4.902788365314238
263,5.122925422299419
264,5.104020079604661
265,5.104020079604661
266,5.104020079604661
267,5.22624870981125
268,5.22624870981125
269,5.104020079604661
270,5.104020079604661
271,4.972075078532576
272,4.972075078532576
273,4.972075078532576
274,5.630949176806448
275,5.630949176806448
276,5.630949176806448
277,5.630949176806448
278,5.206100128380406
279,5.449665160569486
280,5.449665160569486
281,5.449665160569486
282,5.449665160569486
283,5.449665160569486
284,5.5337735251068
285,5.5337735251068
286,5.006945356898646
287,5.006945356898646
288,5.006945356898646
289,4.793773824695002
290,4.793773824695002
291,4.793773824695002
292,4.793773824695002
293,5.035935979594719
294,5.035935979594719
295,5.339820391645197
296,5.417126312296785
297,5.417126312296785
298,5.29830039407026
299,5.22420599666407
300,4.928376738666069
301,4.971912563731096
302,4.971912563731096
303,4.971912563731096
304,5.278511313646287
305,5.187744761200371
306,5.278511313646287
307,5.278511313646287
308,5.278511313646287
309,5.10782575763772
310,5.126576087929798
311,5.126576087929798
312,5.126576087929798
313,5.126576087929798
314,5.126576087929798
315,5.451471748462733
316,5.451471748462733
317,5.451471748462733
318,5.155643271353235
319,5.155643271353235
320,5.155643271353235
321,5.230358179082966
322,4.904450415707385
323,4.904450415707385
324,4.905706882836711
325,4.929566929854466
326,5.494545006135771
327,5.494545006135771
328,5.61202893476653
329,5.422348484187079
330,5.422348484187079
331,5.422348484187079
332,5.4106465483623385
333,5.347826331780713
334,4.793773824695002
335,5.035935979594719
336,5.035935979594719
337,5.142327630427892
338,5.142327630427892
339,5.147891199116564
340,5.147891199116564
341,5.147891199116564
342,5.319050058094557
343,5.142957064702917
344,5.142957064702917
345,5.102965399334337
346,5.273645785566844
347,5.273645785566844
348,5.1623575737029554
