idx,seed,n_stations,attempts,accepted,wall_s,surrogate,path,last_reason
0,7,3,80,1,0.087,4.772582,synth_s7_n3_0.yaml,valid
1,7,3,204,1,0.029,9.131166,synth_s7_n3_1.yaml,valid
2,7,3,7,1,0.005,6.773908,synth_s7_n3_2.yaml,valid
