seed,n_stations,init_cost,sa_cost,baseline_cost,impr_vs_baseline_pct,impr_vs_init_pct,accepts,iters,sa_wall_s,base_wall_s,best_order,config
500,3,5.6539,5.1062,5.6421,9.5,9.69,83,150,60.04,6.58,conveyor_1|conveyor_2|conveyor_3,sa_s500_n3.yaml
501,3,5.3941,5.1666,5.5187,6.38,4.22,67,150,54.95,7.62,conveyor_1|conveyor_3|conveyor_2,sa_s501_n3.yaml
502,3,5.8304,5.1089,7.3999,30.96,12.37,47,150,45.97,2.55,conveyor_1|conveyor_2|conveyor_3,sa_s502_n3.yaml
503,3,5.1185,5.0298,5.444,7.61,1.73,83,150,69.52,3.11,conveyor_3|conveyor_1|conveyor_2,sa_s503_n3.yaml
504,3,5.6009,5.1573,4.9967,-3.21,7.92,86,150,77.12,9.59,conveyor_1|conveyor_3|conveyor_2,sa_s504_n3.yaml
505,3,5.64,4.9222,5.1769,4.92,12.73,87,150,49.07,2.3,conveyor_3|conveyor_1|conveyor_2,sa_s505_n3.yaml
506,3,5.4683,5.021,5.3685,6.47,8.18,73,150,45.61,7.19,conveyor_1|conveyor_3|conveyor_2,sa_s506_n3.yaml
507,3,5.4831,5.351,5.0465,-6.03,2.41,54,150,54.63,9.49,conveyor_1|conveyor_3|conveyor_2,sa_s507_n3.yaml
508,3,5.2812,4.6791,5.5029,14.97,11.4,89,150,73.02,6.4,conveyor_1|conveyor_3|conveyor_2,sa_s508_n3.yaml
509,3,5.9664,4.8193,5.4425,11.45,19.23,86,150,67.51,4.72,conveyor_1|conveyor_3|conveyor_2,sa_s509_n3.yaml
510,3,5.3036,5.073,5.3342,4.9,4.35,67,150,67.11,5.07,conveyor_1|conveyor_3|conveyor_2,sa_s510_n3.yaml
511,3,5.7307,4.7774,5.258,9.14,16.64,74,150,48.75,6.39,conveyor_2|conveyor_1|conveyor_3,sa_s511_n3.yaml
512,3,5.3739,5.0648,5.9467,14.83,5.75,79,150,33.82,5.28,conveyor_1|conveyor_3|conveyor_2,sa_s512_n3.yaml
513,3,5.4695,5.1449,5.2698,2.37,5.93,71,150,65.36,4.73,conveyor_1|conveyor_3|conveyor_2,sa_s513_n3.yaml
514,3,5.5498,4.8609,5.296,8.22,12.41,84,150,59.73,4.55,conveyor_1|conveyor_2|conveyor_3,sa_s514_n3.yaml
