run_idx,config,seed,warmup,n_stations,per_op_plan_time,per_op_exec_time,full_cycle_time,success,failure_cause
0,config_2,1000,1,3,"0.149;0.122;0.102;0.149","4.824;7.465;3.417;5.817",133.497,1,none
1,config_2,1001,0,3,"0.131;0.152;0.104;0.119","5.617;7.26;3.363;5.918",136.412,1,none
2,config_2,1002,0,3,"0.101;0.134;0.105;0.13","4.967;10.661;6.113;5.967",142.157,1,none
3,config_2,1003,0,3,"0.146;0.154;0.172;0.13","4.661;11.013;5.663;6.313",142.309,1,none
4,config_2,1004,0,3,"0.102;0.104;0.1;0.093","4.463;8.61;3.959;7.112",137.93,1,none
5,config_2,1005,0,3,"0.085;0.097;0.082;0.098","4.459;6.409;2.762;7.108",130.053,1,none
6,config_2,1006,0,3,"0.1;0.089;0.089;0.097","4.507;6.363;2.761;7.157",129.909,1,none
7,config_2,1007,0,3,"0.102;0.114;0.097;0.092","4.461;8.711;5.011;4.911",132.645,1,none
