run_idx,config,seed,warmup,n_stations,per_op_plan_time,per_op_exec_time,full_cycle_time,success,failure_cause
0,config_2,4000,1,3,"0.099;0.104;0.09;0.097","4.459;6.41;6.162;7.109",131.577,1,none
1,config_2,4001,0,3,"0.095;0.11;0.101;0.093","4.461;6.362;2.761;4.858",127.696,1,none
2,config_2,4002,0,3,"0.085;0.099;0.091;0.099","4.509;6.362;2.757;7.11",130.168,1,none
3,config_2,4003,0,3,"0.085;0.09;0.106;0.107","4.514;6.361;6.158;7.11",133.668,1,none
