iter,cost
0,5.267678675135025
1,5.267678675135025
2,6.608632942619096
3,6.608632942619096
4,7.108975663088824
5,7.858050753125321
6,7.858050753125321
7,7.858050753125321
8,6.608633668324606
9,5.80705158976569
10,5.80705158976569
11,5.281064847787863
12,5.281064847787863
13,5.207982672493323
14,5.207982672493323
15,5.207982672493323
16,5.207982672493323
17,5.193850598467915
18,5.193850598467915
19,5.193850598467915
20,5.4306767468471815
21,5.4306767468471815
22,5.5512568423379935
23,5.471176649713152
24,5.471176649713152
25,5.560286935911336
26,5.560286935911336
27,5.5198537622086965
28,5.494227979351822
29,5.647077317645996
30,5.676669689360359
31,5.6470842501405665
32,5.686548814333962
33,5.321092983271322
34,5.4507160224762226
35,5.4507160224762226
36,5.4507160224762226
37,5.4507160224762226
38,5.383354475150707
39,5.584944518195985
40,5.5882044078473765
41,5.631755312512956
42,5.306786747939746
43,5.306786747939746
44,5.65594635189382
45,5.7206135413797705
46,5.365146506024363
47,5.720611662625496
48,5.877162510650866
49,5.877162510650866
50,6.044065133906942
51,5.678608475322778
52,5.684487571465363
53,5.704016668975127
54,5.704016668975127
55,5.704016668975127
56,5.69793866846708
57,5.69793866846708
58,5.703454954514806
59,5.7105718136315655
60,5.690739474045819
61,5.691609524308715
62,5.193850598467915
63,11.129834985549595
64,11.129834985549595
65,11.129834985549595
66,11.129834985549595
67,4.943564221753669
68,4.992017306590685
69,4.992017306590685
70,4.920224755402471
71,4.920224755402471
72,4.89857144561801
73,5.044625540111282
74,5.044625540111282
75,5.044625540111282
76,5.098432132121408
77,5.098432132121408
78,5.335929950430589
79,5.134377076324085
80,5.16800567559111
81,5.134377045848477
82,5.134377045848477
83,5.134377045848477
84,5.16800567559111
85,5.134377076324085
86,5.335929905948456
87,5.297838641173545
88,5.297838641173545
89,5.1054771711057345
90,5.125793814816907
91,5.125793814816907
92,9.38235760765442
93,6.79472815513776
94,5.21381691107395
95,5.21381691107395
96,6.032721936215902
97,6.032721936215902
98,6.032721936215902
99,6.032721936215902
100,6.032721936215902
101,6.032721936215902
102,6.032721936215902
103,5.310812000327853
104,5.310812000327853
105,5.310812000327853
106,5.310812000327853
107,5.29474581394935
108,5.6830183545050765
109,5.6830183545050765
110,5.452824840955276
111,5.452824840955276
112,5.452824840955276
113,5.401844792929558
114,5.059851783757711
115,5.159508182186649
116,5.159508182186649
117,4.89857144561801
118,4.628853126548637
119,4.628853126548637
120,4.628853126548637
121,4.857237580447867
122,4.857237580447867
123,4.857237580447867
124,4.927343975069344
125,4.927343975069344
126,4.898571442967484
127,4.898571442967484
128,4.898571442967484
129,4.910405457260368
130,4.958357453135823
131,4.958357453135823
132,4.958357453135823
133,4.958357453135823
134,4.958687140589943
135,4.981425387141969
136,4.981425387141969
137,4.7750639629367075
138,4.929393336529687
139,4.929393336529687
140,4.929393336529687
141,4.929393336529687
142,4.929393336529687
143,4.929393336529687
144,4.929393336529687
145,4.815707115048989
146,4.815707115048989
147,4.815707115048989
148,4.77039942025858
149,5.62567719414074
150,5.62567719414074
