seed,n_stations,init_cost,sa_cost,baseline_cost,impr_vs_baseline_pct,impr_vs_init_pct,accepts,iters,sa_wall_s,base_wall_s,best_order,config
637,3,5.0535,4.9509,5.2389,5.5,2.03,92,150,26.68,5.17,conveyor_1|conveyor_3|conveyor_2,sa_s637_n3.yaml
638,3,5.2359,5.0376,5.1565,2.31,3.79,82,150,22.42,3.99,conveyor_2|conveyor_1|conveyor_3,sa_s638_n3.yaml
639,3,5.0771,5.0442,5.1325,1.72,0.65,78,150,23.77,3.91,conveyor_1|conveyor_2|conveyor_3,sa_s639_n3.yaml
640,3,5.1693,5.0064,5.1933,3.6,3.15,77,150,31.41,8.97,conveyor_1|conveyor_2|conveyor_3,sa_s640_n3.yaml
641,3,5.2411,4.4343,5.6366,21.33,15.39,107,150,32.18,5.53,conveyor_2|conveyor_3|conveyor_1,sa_s641_n3.yaml
642,3,5.204,5.204,5.0971,-2.1,0.0,94,150,30.0,6.24,conveyor_1|conveyor_2|conveyor_3,sa_s642_n3.yaml
643,3,5.2712,4.706,5.2179,9.81,10.72,108,150,31.78,8.06,conveyor_3|conveyor_1|conveyor_2,sa_s643_n3.yaml
644,3,5.2384,4.8262,4.8531,0.55,7.87,76,150,28.1,7.01,conveyor_2|conveyor_3|conveyor_1,sa_s644_n3.yaml
645,3,4.9414,4.6575,5.1246,9.11,5.75,98,150,39.74,6.68,conveyor_2|conveyor_1|conveyor_3,sa_s645_n3.yaml
646,3,5.2097,5.1782,5.2922,2.15,0.61,90,150,26.49,4.23,conveyor_1|conveyor_2|conveyor_3,sa_s646_n3.yaml
647,3,5.2848,4.4291,5.4252,18.36,16.19,99,150,34.19,4.88,conveyor_1|conveyor_3|conveyor_2,sa_s647_n3.yaml
648,3,5.47,4.4993,5.5076,18.31,17.75,109,150,30.15,2.55,conveyor_3|conveyor_2|conveyor_1,sa_s648_n3.yaml
649,3,5.0982,5.0982,5.1341,0.7,0.0,97,150,28.72,4.64,conveyor_1|conveyor_2|conveyor_3,sa_s649_n3.yaml
